vacc_date,received_at_least_one_dose,full_regimen,minimum_protection,received_one_dose_pcttakeup,full_regimen_pcttakeup,minimum_protection_pcttakeup
2020-12-30,758.0,18.0,9.0,0.01,0.0,0.0
2020-12-31,812.0,19.0,9.0,0.01,0.0,0.0
2021-01-01,867.0,19.0,9.0,0.01,0.0,0.0
2021-01-02,913.0,19.0,9.0,0.02,0.0,0.0
2021-01-03,960.0,19.0,9.0,0.02,0.0,0.0
2021-01-04,1080.0,20.0,9.0,0.02,0.0,0.0
2021-01-05,1195.0,24.0,9.0,0.02,0.0,0.0
2021-01-06,1329.0,27.0,9.0,0.02,0.0,0.0
2021-01-07,1474.0,29.0,9.0,0.02,0.0,0.0
2021-01-08,2341.0,40.0,9.0,0.04,0.0,0.0
2021-01-09,2808.0,47.0,9.0,0.05,0.0,0.0
2021-01-10,3048.0,57.0,9.0,0.05,0.0,0.0
2021-01-11,5184.0,57.0,9.0,0.09,0.0,0.0
2021-01-12,8070.0,71.0,9.0,0.14,0.0,0.0
2021-01-13,12146.0,90.0,9.0,0.2,0.0,0.0
2021-01-14,16899.0,106.0,9.0,0.28,0.0,0.0
2021-01-15,22202.0,120.0,9.0,0.37,0.0,0.0
2021-01-16,23983.0,134.0,9.0,0.4,0.0,0.0
2021-01-17,24706.0,146.0,9.0,0.42,0.0,0.0
2021-01-18,32113.0,180.0,9.0,0.54,0.0,0.0
2021-01-19,40186.0,232.0,9.0,0.68,0.0,0.0
2021-01-20,49194.0,344.0,9.0,0.83,0.01,0.0
2021-01-21,56735.0,417.0,9.0,0.95,0.01,0.0
2021-01-22,64344.0,454.0,9.0,1.08,0.01,0.0
2021-01-23,69037.0,483.0,9.0,1.16,0.01,0.0
2021-01-24,73461.0,561.0,9.0,1.23,0.01,0.0
2021-01-25,85174.0,630.0,9.0,1.43,0.01,0.0
2021-01-26,97500.0,723.0,9.0,1.64,0.01,0.0
2021-01-27,111051.0,781.0,9.0,1.87,0.01,0.0
2021-01-28,125286.0,849.0,9.0,2.1,0.01,0.0
2021-01-29,138921.0,1564.0,9.0,2.33,0.03,0.0
2021-01-30,145979.0,1961.0,9.0,2.45,0.03,0.0
2021-01-31,151494.0,2178.0,9.0,2.54,0.04,0.0
2021-02-01,160498.0,4246.0,9.0,2.7,0.07,0.0
2021-02-02,169990.0,6705.0,9.0,2.86,0.11,0.0
2021-02-03,181159.0,10338.0,9.0,3.04,0.17,0.0
2021-02-04,189747.0,14664.0,9.0,3.19,0.25,0.0
2021-02-05,198977.0,19835.0,9.0,3.34,0.33,0.0
2021-02-06,203292.0,21458.0,9.0,3.41,0.36,0.0
2021-02-07,205598.0,22162.0,9.0,3.45,0.37,0.0
2021-02-08,209596.0,29481.0,9.0,3.52,0.5,0.0
2021-02-09,213237.0,37495.0,9.0,3.58,0.63,0.0
2021-02-10,216287.0,46320.0,9.0,3.63,0.78,0.0
2021-02-11,217729.0,49194.0,9.0,3.66,0.83,0.0
2021-02-12,217848.0,49224.0,9.0,3.66,0.83,0.0
2021-02-13,217966.0,49248.0,9.0,3.66,0.83,0.0
2021-02-14,218543.0,53070.0,9.0,3.67,0.89,0.0
2021-02-15,219778.0,63652.0,9.0,3.69,1.07,0.0
2021-02-16,222066.0,77210.0,9.0,3.73,1.3,0.0
2021-02-17,225485.0,92453.0,9.0,3.79,1.55,0.0
2021-02-18,229770.0,106513.0,9.0,3.86,1.79,0.0
2021-02-19,235462.0,120495.0,9.0,3.96,2.02,0.0
2021-02-20,239332.0,127947.0,9.0,4.02,2.15,0.0
2021-02-21,241401.0,133791.0,9.0,4.06,2.25,0.0
2021-02-22,247627.0,145190.0,9.0,4.16,2.44,0.0
2021-02-23,255641.0,156721.0,9.0,4.29,2.63,0.0
2021-02-24,263287.0,168184.0,9.0,4.42,2.83,0.0
2021-02-25,271886.0,177993.0,9.0,4.57,2.99,0.0
2021-02-26,281812.0,188524.0,9.0,4.73,3.17,0.0
2021-02-27,290158.0,193917.0,9.0,4.87,3.26,0.0
2021-02-28,296313.0,196455.0,9.0,4.98,3.3,0.0
2021-03-01,306007.0,199783.0,9.0,5.14,3.36,0.0
2021-03-02,316003.0,203158.0,9.0,5.31,3.41,0.0
2021-03-03,327230.0,205916.0,9.0,5.5,3.46,0.0
2021-03-04,339622.0,207726.0,9.0,5.71,3.49,0.0
2021-03-05,353308.0,208704.0,9.0,5.94,3.51,0.0
2021-03-06,362180.0,209386.0,9.0,6.08,3.52,0.0
2021-03-07,366965.0,209829.0,9.0,6.16,3.52,0.0
2021-03-08,380686.0,211320.0,9.0,6.39,3.55,0.0
2021-03-09,397444.0,213202.0,9.0,6.68,3.58,0.0
2021-03-10,416272.0,215958.0,9.0,6.99,3.63,0.0
2021-03-11,438309.0,219302.0,9.0,7.36,3.68,0.0
2021-03-12,463043.0,224133.0,9.0,7.78,3.77,0.0
2021-03-13,486447.0,227553.0,9.0,8.17,3.82,0.0
2021-03-14,506340.0,229319.0,9.0,8.51,3.85,0.0
2021-03-15,533777.0,235118.0,9.0,8.97,3.95,0.0
2021-03-16,562682.0,242073.0,9.0,9.45,4.07,0.0
2021-03-17,595553.0,249504.0,9.0,10.0,4.19,0.0
2021-03-18,628298.0,257054.0,10.0,10.55,4.32,0.0
2021-03-19,664445.0,266417.0,10.0,11.16,4.48,0.0
2021-03-20,694332.0,274600.0,10.0,11.66,4.61,0.0
2021-03-21,721383.0,280164.0,10.0,12.12,4.71,0.0
2021-03-22,751841.0,289929.0,10.0,12.63,4.87,0.0
2021-03-23,779886.0,299466.0,10.0,13.1,5.03,0.0
2021-03-24,803515.0,309868.0,10.0,13.5,5.21,0.0
2021-03-25,824770.0,321744.0,10.0,13.85,5.4,0.0
2021-03-26,847849.0,335608.0,10.0,14.24,5.64,0.0
2021-03-27,870981.0,344030.0,10.0,14.63,5.78,0.0
2021-03-28,887599.0,348806.0,10.0,14.91,5.86,0.0
2021-03-29,921807.0,361494.0,10.0,15.48,6.07,0.0
2021-03-30,948911.0,376881.0,10.0,15.94,6.33,0.0
2021-03-31,971957.0,395016.0,10.0,16.33,6.64,0.0
2021-04-01,994901.0,413966.0,10.0,16.71,6.95,0.0
2021-04-02,1013625.0,430015.0,10.0,17.03,7.22,0.0
2021-04-03,1033042.0,451477.0,10.0,17.35,7.58,0.0
2021-04-04,1049357.0,467744.0,10.0,17.63,7.86,0.0
2021-04-05,1076993.0,492561.0,10.0,18.09,8.27,0.0
2021-04-06,1103705.0,517349.0,10.0,18.54,8.69,0.0
2021-04-07,1128553.0,544871.0,10.0,18.96,9.15,0.0
2021-04-08,1151637.0,573625.0,10.0,19.35,9.64,0.0
2021-04-09,1172418.0,609105.0,10.0,19.69,10.23,0.0
2021-04-10,1190263.0,640763.0,10.0,19.99,10.76,0.0
2021-04-11,1209641.0,666046.0,10.0,20.32,11.19,0.0
2021-04-12,1226748.0,694567.0,10.0,20.61,11.67,0.0
2021-04-13,1245193.0,718152.0,10.0,20.92,12.06,0.0
2021-04-14,1264861.0,738619.0,10.0,21.25,12.41,0.0
2021-04-15,1283374.0,759159.0,10.0,21.56,12.75,0.0
2021-04-16,1303418.0,782780.0,10.0,21.9,13.15,0.0
2021-04-17,1319604.0,804785.0,10.0,22.17,13.52,0.0
2021-04-18,1334040.0,820251.0,10.0,22.41,13.78,0.0
2021-04-19,1350981.0,850546.0,10.0,22.69,14.29,0.0
2021-04-20,1372678.0,874590.0,10.0,23.06,14.69,0.0
2021-04-21,1397711.0,894869.0,10.0,23.48,15.03,0.0
2021-04-22,1422641.0,914320.0,10.0,23.9,15.36,0.0
2021-04-23,1447082.0,935871.0,11.0,24.31,15.72,0.0
2021-04-24,1465715.0,960212.0,11.0,24.62,16.13,0.0
2021-04-25,1485458.0,978515.0,11.0,24.95,16.44,0.0
2021-04-26,1504612.0,1004579.0,11.0,25.28,16.88,0.0
2021-04-27,1526019.0,1029313.0,12.0,25.63,17.29,0.0
2021-04-28,1548327.0,1050898.0,12.0,26.01,17.65,0.0
2021-04-29,1574252.0,1070323.0,12.0,26.44,17.98,0.0
2021-04-30,1598333.0,1093119.0,12.0,26.85,18.36,0.0
2021-05-01,1621840.0,1106555.0,12.0,27.24,18.59,0.0
2021-05-02,1641821.0,1122997.0,12.0,27.58,18.86,0.0
2021-05-03,1663197.0,1134959.0,12.0,27.94,19.07,0.0
2021-05-04,1685168.0,1147039.0,12.0,28.31,19.27,0.0
2021-05-05,1706139.0,1161570.0,12.0,28.66,19.51,0.0
2021-05-06,1730707.0,1174828.0,12.0,29.07,19.74,0.0
2021-05-07,1753585.0,1191644.0,12.0,29.46,20.02,0.0
2021-05-08,1772525.0,1207468.0,12.0,29.78,20.28,0.0
2021-05-09,1790438.0,1220909.0,12.0,30.08,20.51,0.0
2021-05-10,1819770.0,1238293.0,12.0,30.57,20.8,0.0
2021-05-11,1846647.0,1258992.0,13.0,31.02,21.15,0.0
2021-05-12,1857982.0,1278282.0,13.0,31.21,21.47,0.0
2021-05-13,1859354.0,1278678.0,14.0,31.23,21.48,0.0
2021-05-14,1876415.0,1317834.0,14.0,31.52,22.14,0.0
2021-05-15,1898727.0,1343539.0,16.0,31.9,22.57,0.0
2021-05-16,1918879.0,1366539.0,16.0,32.23,22.96,0.0
2021-05-17,1935990.0,1389359.0,16.0,32.52,23.34,0.0
2021-05-18,1954804.0,1410973.0,16.0,32.84,23.7,0.0
2021-05-19,1973730.0,1432588.0,16.0,33.16,24.07,0.0
2021-05-20,1997829.0,1455313.0,16.0,33.56,24.45,0.0
2021-05-21,2019491.0,1482834.0,18.0,33.92,24.91,0.0
2021-05-22,2036666.0,1513552.0,18.0,34.21,25.43,0.0
2021-05-23,2054371.0,1538465.0,18.0,34.51,25.84,0.0
2021-05-24,2081590.0,1558763.0,19.0,34.97,26.18,0.0
2021-05-25,2111904.0,1579611.0,19.0,35.48,26.53,0.0
2021-05-26,2139085.0,1593521.0,19.0,35.93,26.77,0.0
2021-05-27,2163305.0,1615578.0,19.0,36.34,27.14,0.0
2021-05-28,2189652.0,1638785.0,20.0,36.78,27.53,0.0
2021-05-29,2214674.0,1659324.0,20.0,37.2,27.87,0.0
2021-05-30,2235180.0,1676972.0,21.0,37.55,28.17,0.0
2021-05-31,2253906.0,1705802.0,21.0,37.86,28.65,0.0
2021-06-01,2279732.0,1726178.0,21.0,38.3,29.0,0.0
2021-06-02,2312299.0,1737012.0,21.0,38.84,29.18,0.0
2021-06-03,2358106.0,1745770.0,23.0,39.61,29.33,0.0
2021-06-04,2397176.0,1764970.0,23.0,40.27,29.65,0.0
2021-06-05,2426388.0,1788411.0,24.0,40.76,30.04,0.0
2021-06-06,2451908.0,1808647.0,25.0,41.19,30.38,0.0
2021-06-07,2478394.0,1823524.0,25.0,41.63,30.63,0.0
2021-06-08,2500107.0,1839338.0,25.0,42.0,30.9,0.0
2021-06-09,2527548.0,1854253.0,26.0,42.46,31.15,0.0
2021-06-10,2559060.0,1865838.0,26.0,42.99,31.34,0.0
2021-06-11,2590249.0,1884201.0,29.0,43.51,31.65,0.0
2021-06-12,2618481.0,1899796.0,29.0,43.99,31.91,0.0
2021-06-13,2645603.0,1912004.0,32.0,44.44,32.12,0.0
2021-06-14,2679310.0,1926905.0,32.0,45.01,32.37,0.0
2021-06-15,2716561.0,1941980.0,35.0,45.63,32.62,0.0
2021-06-16,2760101.0,1956304.0,40.0,46.37,32.86,0.0
2021-06-17,2801977.0,1970006.0,43.0,47.07,33.09,0.0
2021-06-18,2842117.0,1987166.0,46.0,47.74,33.38,0.0
2021-06-19,2881761.0,2003579.0,49.0,48.41,33.66,0.0
2021-06-20,2915357.0,2015331.0,51.0,48.97,33.85,0.0
2021-06-21,2959240.0,2026895.0,54.0,49.71,34.05,0.0
2021-06-22,2999939.0,2038412.0,58.0,50.39,34.24,0.0
2021-06-23,3041023.0,2049206.0,58.0,51.08,34.42,0.0
2021-06-24,3081759.0,2059457.0,62.0,51.77,34.6,0.0
2021-06-25,3121803.0,2070505.0,65.0,52.44,34.78,0.0
2021-06-26,3178024.0,2079997.0,66.0,53.39,34.94,0.0
2021-06-27,3227444.0,2086841.0,69.0,54.22,35.06,0.0
2021-06-28,3278240.0,2096529.0,72.0,55.07,35.22,0.0
2021-06-29,3317512.0,2105468.0,75.0,55.73,35.37,0.0
2021-06-30,3373730.0,2115824.0,81.0,56.67,35.54,0.0
2021-07-01,3434904.0,2133463.0,85.0,57.7,35.84,0.0
2021-07-02,3497225.0,2152718.0,86.0,58.75,36.16,0.0
2021-07-03,3557356.0,2170123.0,92.0,59.76,36.45,0.0
2021-07-04,3610860.0,2187366.0,95.0,60.66,36.74,0.0
2021-07-05,3669394.0,2203560.0,99.0,61.64,37.02,0.0
2021-07-06,3724947.0,2219104.0,103.0,62.57,37.28,0.0
2021-07-07,3780256.0,2236274.0,105.0,63.5,37.57,0.0
2021-07-08,3833858.0,2254709.0,106.0,64.4,37.88,0.0
2021-07-09,3884720.0,2280749.0,110.0,65.26,38.31,0.0
2021-07-10,3929840.0,2306471.0,110.0,66.01,38.74,0.0
2021-07-11,3966321.0,2334078.0,114.0,66.63,39.21,0.0
2021-07-12,4008597.0,2364753.0,114.0,67.34,39.72,0.0
2021-07-13,4040269.0,2396960.0,117.0,67.87,40.27,0.0
2021-07-14,4065917.0,2435505.0,123.0,68.3,40.91,0.0
2021-07-15,4089560.0,2479002.0,127.0,68.7,41.64,0.0
2021-07-16,4113948.0,2536621.0,129.0,69.11,42.61,0.0
2021-07-17,4134363.0,2593020.0,132.0,69.45,43.56,0.0
2021-07-18,4151612.0,2642596.0,134.0,69.74,44.39,0.0
2021-07-19,4166447.0,2673029.0,136.0,69.99,44.9,0.0
2021-07-20,4169327.0,2673968.0,141.0,70.04,44.92,0.0
2021-07-21,4189913.0,2726584.0,143.0,70.38,45.8,0.0
2021-07-22,4208873.0,2776675.0,147.0,70.7,46.64,0.0
2021-07-23,4226864.0,2838771.0,148.0,71.0,47.69,0.0
2021-07-24,4241701.0,2894510.0,154.0,71.25,48.62,0.0
2021-07-25,4255180.0,2941757.0,157.0,71.48,49.42,0.0
2021-07-26,4270601.0,2991227.0,157.0,71.74,50.25,0.0
2021-07-27,4286405.0,3026867.0,162.0,72.0,50.85,0.0
2021-07-28,4301128.0,3072675.0,164.0,72.25,51.62,0.0
2021-07-29,4316033.0,3121356.0,167.0,72.5,52.43,0.0
2021-07-30,4328494.0,3183518.0,168.0,72.71,53.48,0.0
2021-07-31,4339650.0,3242724.0,173.0,72.9,54.47,0.0
2021-08-01,4348017.0,3294335.0,175.0,73.04,55.34,0.0
2021-08-02,4359583.0,3347757.0,181.0,73.23,56.24,0.0
2021-08-03,4371365.0,3397369.0,184.0,73.43,57.07,0.0
2021-08-04,4382345.0,3448939.0,190.0,73.62,57.94,0.0
2021-08-05,4392914.0,3503446.0,196.0,73.79,58.85,0.0
2021-08-06,4403455.0,3566484.0,205.0,73.97,59.91,0.0
2021-08-07,4415140.0,3625447.0,216.0,74.17,60.9,0.0
2021-08-08,4425488.0,3674663.0,227.0,74.34,61.73,0.0
2021-08-09,4435779.0,3707089.0,237.0,74.51,62.27,0.0
2021-08-10,4448947.0,3742959.0,248.0,74.74,62.88,0.0
2021-08-11,4461221.0,3778436.0,259.0,74.94,63.47,0.0
2021-08-12,4472630.0,3812643.0,268.0,75.13,64.05,0.0
2021-08-13,4485521.0,3856684.0,274.0,75.35,64.79,0.0
2021-08-14,4498229.0,3899343.0,290.0,75.56,65.5,0.0
2021-08-15,4506582.0,3928100.0,301.0,75.7,65.99,0.01
2021-08-16,4517041.0,3947152.0,306.0,75.88,66.31,0.01
2021-08-17,4526221.0,3962322.0,313.0,76.03,66.56,0.01
2021-08-18,4534995.0,3978068.0,330.0,76.18,66.83,0.01
2021-08-19,4543077.0,3992483.0,340.0,76.32,67.07,0.01
2021-08-20,4552837.0,4011196.0,358.0,76.48,67.38,0.01
2021-08-21,4561776.0,4026612.0,382.0,76.63,67.64,0.01
2021-08-22,4567293.0,4035126.0,402.0,76.72,67.78,0.01
2021-08-23,4574280.0,4048077.0,434.0,76.84,68.0,0.01
2021-08-24,4580867.0,4059294.0,457.0,76.95,68.19,0.01
2021-08-25,4587771.0,4070747.0,479.0,77.07,68.38,0.01
2021-08-26,4594154.0,4081548.0,500.0,77.17,68.56,0.01
2021-08-27,4601975.0,4096446.0,522.0,77.31,68.81,0.01
2021-08-28,4608718.0,4109962.0,549.0,77.42,69.04,0.01
2021-08-29,4612829.0,4118326.0,570.0,77.49,69.18,0.01
2021-08-30,4619066.0,4127850.0,596.0,77.59,69.34,0.01
2021-08-31,4625371.0,4138956.0,628.0,77.7,69.53,0.01
2021-09-01,4631680.0,4148645.0,652.0,77.8,69.69,0.01
2021-09-02,4637661.0,4157854.0,682.0,77.91,69.85,0.01
2021-09-03,4644331.0,4171372.0,704.0,78.02,70.07,0.01
2021-09-04,4650028.0,4185287.0,725.0,78.11,70.31,0.01
2021-09-05,4653996.0,4194498.0,740.0,78.18,70.46,0.01
2021-09-06,4659649.0,4202527.0,769.0,78.27,70.6,0.01
2021-09-07,4665043.0,4209900.0,794.0,78.37,70.72,0.01
2021-09-08,4670410.0,4216796.0,827.0,78.46,70.84,0.01
2021-09-09,4675235.0,4223668.0,859.0,78.54,70.95,0.01
2021-09-10,4679728.0,4234781.0,882.0,78.61,71.14,0.01
2021-09-11,4683813.0,4245239.0,907.0,78.68,71.31,0.02
2021-09-12,4688084.0,4253282.0,1021.0,78.75,71.45,0.02
2021-09-13,4692060.0,4259795.0,1055.0,78.82,71.56,0.02
2021-09-14,4696127.0,4265922.0,1258.0,78.89,71.66,0.02
2021-09-15,4700690.0,4272007.0,5961.0,78.96,71.76,0.1
2021-09-16,4705071.0,4277693.0,9086.0,79.04,71.86,0.15
2021-09-17,4710299.0,4286385.0,17278.0,79.13,72.0,0.29
2021-09-18,4714367.0,4293824.0,30210.0,79.19,72.13,0.51
2021-09-19,4717657.0,4299601.0,38253.0,79.25,72.23,0.64
2021-09-20,4721823.0,4305323.0,50033.0,79.32,72.32,0.84
2021-09-21,4725940.0,4310490.0,58184.0,79.39,72.41,0.98
2021-09-22,4729821.0,4316209.0,73322.0,79.45,72.51,1.23
2021-09-23,4734334.0,4321151.0,90110.0,79.53,72.59,1.51
2021-09-24,4738938.0,4328343.0,113384.0,79.61,72.71,1.9
2021-09-25,4742598.0,4334815.0,134982.0,79.67,72.82,2.27
2021-09-26,4746472.0,4341661.0,150235.0,79.73,72.93,2.52
2021-09-27,4750387.0,4346515.0,172233.0,79.8,73.01,2.89
2021-09-28,4754918.0,4351596.0,196219.0,79.87,73.1,3.3
2021-09-29,4758909.0,4356480.0,216211.0,79.94,73.18,3.63
2021-09-30,4762677.0,4361440.0,237197.0,80.01,73.27,3.98
2021-10-01,4766047.0,4366162.0,258291.0,80.06,73.34,4.34
2021-10-02,4768629.0,4370097.0,279839.0,80.11,73.41,4.7
2021-10-03,4771160.0,4374406.0,298568.0,80.15,73.48,5.02
2021-10-04,4774252.0,4377687.0,320350.0,80.2,73.54,5.38
2021-10-05,4778031.0,4381534.0,340187.0,80.26,73.6,5.71
2021-10-06,4781830.0,4385130.0,355744.0,80.33,73.66,5.98
2021-10-07,4785522.0,4388538.0,370287.0,80.39,73.72,6.22
2021-10-08,4789439.0,4393196.0,391023.0,80.45,73.8,6.57
2021-10-09,4793248.0,4397352.0,410069.0,80.52,73.87,6.89
2021-10-10,4797437.0,4402322.0,436201.0,80.59,73.95,7.33
2021-10-11,4802310.0,4405613.0,462428.0,80.67,74.01,7.77
2021-10-12,4806375.0,4409036.0,484815.0,80.74,74.06,8.14
2021-10-13,4810109.0,4412160.0,503830.0,80.8,74.12,8.46
2021-10-14,4813520.0,4415103.0,521207.0,80.86,74.17,8.76
2021-10-15,4817537.0,4418842.0,549865.0,80.93,74.23,9.24
2021-10-16,4821016.0,4422266.0,572418.0,80.99,74.29,9.62
2021-10-17,4822867.0,4424149.0,583590.0,81.02,74.32,9.8
2021-10-18,4825925.0,4427646.0,599554.0,81.07,74.38,10.07
2021-10-19,4828576.0,4430353.0,617063.0,81.11,74.42,10.37
2021-10-20,4830563.0,4433017.0,631560.0,81.15,74.47,10.61
2021-10-21,4833136.0,4436303.0,648789.0,81.19,74.52,10.9
2021-10-22,4835573.0,4439558.0,674438.0,81.23,74.58,11.33
2021-10-23,4838214.0,4444604.0,692778.0,81.27,74.66,11.64
2021-10-24,4839654.0,4446369.0,702400.0,81.3,74.69,11.8
2021-10-25,4842203.0,4449665.0,717372.0,81.34,74.75,12.05
2021-10-26,4844808.0,4453082.0,737243.0,81.38,74.8,12.38
2021-10-27,4847122.0,4456339.0,752059.0,81.42,74.86,12.63
2021-10-28,4849651.0,4459818.0,769909.0,81.47,74.92,12.93
2021-10-29,4851966.0,4463606.0,801252.0,81.51,74.98,13.46
2021-10-30,4854522.0,4469406.0,825281.0,81.55,75.08,13.86
2021-10-31,4856094.0,4472356.0,839934.0,81.57,75.13,14.11
2021-11-01,4858415.0,4476452.0,857820.0,81.61,75.2,14.41
2021-11-02,4860553.0,4480028.0,879843.0,81.65,75.26,14.78
2021-11-03,4862550.0,4483225.0,895387.0,81.68,75.31,15.04
2021-11-04,4863492.0,4484599.0,895911.0,81.7,75.33,15.05
2021-11-05,4866077.0,4489835.0,925252.0,81.74,75.42,15.54
2021-11-06,4868273.0,4494584.0,948403.0,81.78,75.5,15.93
2021-11-07,4869615.0,4496900.0,962546.0,81.8,75.54,16.17
2021-11-08,4871684.0,4501116.0,980097.0,81.84,75.61,16.46
2021-11-09,4874309.0,4504849.0,1003333.0,81.88,75.67,16.85
2021-11-10,4876697.0,4508622.0,1023586.0,81.92,75.74,17.19
2021-11-11,4879215.0,4512442.0,1043298.0,81.96,75.8,17.53
2021-11-12,4881667.0,4516719.0,1071546.0,82.0,75.87,18.0
2021-11-13,4883779.0,4520254.0,1096587.0,82.04,75.93,18.42
2021-11-14,4885521.0,4524017.0,1113248.0,82.07,76.0,18.7
2021-11-15,4887625.0,4527566.0,1131729.0,82.1,76.06,19.01
2021-11-16,4889709.0,4531289.0,1152658.0,82.14,76.12,19.36
2021-11-17,4891552.0,4534621.0,1168996.0,82.17,76.17,19.64
2021-11-18,4893360.0,4538354.0,1186020.0,82.2,76.24,19.92
2021-11-19,4895085.0,4541830.0,1211854.0,82.23,76.3,20.36
2021-11-20,4896931.0,4545061.0,1235547.0,82.26,76.35,20.76
2021-11-21,4898498.0,4548164.0,1252328.0,82.29,76.4,21.04
2021-11-22,4900372.0,4551429.0,1270193.0,82.32,76.46,21.34
2021-11-23,4902165.0,4554770.0,1286539.0,82.35,76.51,21.61
2021-11-24,4903941.0,4557912.0,1300316.0,82.38,76.57,21.84
2021-11-25,4905932.0,4561496.0,1314352.0,82.41,76.63,22.08
2021-11-26,4907629.0,4565123.0,1339825.0,82.44,76.69,22.51
2021-11-27,4909166.0,4567956.0,1362653.0,82.47,76.73,22.89
2021-11-28,4910473.0,4570885.0,1376397.0,82.49,76.78,23.12
2021-11-29,4912206.0,4574104.0,1391463.0,82.52,76.84,23.37
2021-11-30,4914137.0,4577687.0,1412904.0,82.55,76.9,23.73
2021-12-01,4915865.0,4581010.0,1427386.0,82.58,76.95,23.98
2021-12-02,4917429.0,4584680.0,1440827.0,82.6,77.02,24.2
2021-12-03,4918877.0,4589074.0,1463314.0,82.63,77.09,24.58
2021-12-04,4920358.0,4593883.0,1484055.0,82.65,77.17,24.93
2021-12-05,4921337.0,4596257.0,1498227.0,82.67,77.21,25.17
2021-12-06,4922680.0,4600828.0,1513897.0,82.69,77.29,25.43
2021-12-07,4924034.0,4605086.0,1532936.0,82.72,77.36,25.75
2021-12-08,4925320.0,4609316.0,1548179.0,82.74,77.43,26.01
2021-12-09,4926628.0,4613500.0,1562222.0,82.76,77.5,26.24
2021-12-10,4927465.0,4617733.0,1585344.0,82.77,77.57,26.63
2021-12-11,4928644.0,4622350.0,1606576.0,82.79,77.65,26.99
2021-12-12,4929469.0,4624651.0,1620509.0,82.81,77.69,27.22
2021-12-13,4930586.0,4628897.0,1637181.0,82.83,77.76,27.5
2021-12-14,4931632.0,4632986.0,1662326.0,82.84,77.83,27.92
2021-12-15,4932662.0,4637186.0,1681972.0,82.86,77.9,28.25
2021-12-16,4933507.0,4641404.0,1703551.0,82.87,77.97,28.62
2021-12-17,4934342.0,4645724.0,1729615.0,82.89,78.04,29.05
2021-12-18,4935362.0,4649804.0,1754128.0,82.91,78.11,29.47
2021-12-19,4935955.0,4652048.0,1773390.0,82.92,78.15,29.79
2021-12-20,4937043.0,4656374.0,1801807.0,82.93,78.22,30.27
2021-12-21,4937991.0,4660424.0,1831297.0,82.95,78.29,30.76
2021-12-22,4938973.0,4664551.0,1863060.0,82.97,78.36,31.3
2021-12-23,4939882.0,4668519.0,1897774.0,82.98,78.42,31.88
2021-12-24,4940331.0,4671296.0,1920048.0,82.99,78.47,32.25
2021-12-25,4940505.0,4672198.0,1920553.0,82.99,78.49,32.26
2021-12-26,4941327.0,4675651.0,1961850.0,83.01,78.54,32.96
2021-12-27,4945544.0,4680323.0,2001583.0,83.08,78.62,33.62
2021-12-28,4949891.0,4685013.0,2045603.0,83.15,78.7,34.36
2021-12-29,4955912.0,4689334.0,2087396.0,83.25,78.77,35.06
2021-12-30,4962281.0,4693704.0,2129174.0,83.36,78.85,35.77
2021-12-31,4965934.0,4696380.0,2152574.0,83.42,78.89,36.16
2022-01-01,4966209.0,4697022.0,2153263.0,83.42,78.9,36.17
2022-01-02,4973443.0,4699640.0,2192688.0,83.55,78.95,36.83
2022-01-03,4983437.0,4702697.0,2229877.0,83.71,79.0,37.46
2022-01-04,4988127.0,4705480.0,2266158.0,83.79,79.04,38.07
2022-01-05,4990321.0,4708105.0,2300425.0,83.83,79.09,38.64
2022-01-06,4996660.0,4710635.0,2340083.0,83.94,79.13,39.31
2022-01-07,5005593.0,4713431.0,2389826.0,84.09,79.18,40.15
2022-01-08,5016438.0,4716380.0,2437147.0,84.27,79.23,40.94
2022-01-09,5026005.0,4717713.0,2477031.0,84.43,79.25,41.61
2022-01-10,5031359.0,4720293.0,2517836.0,84.52,79.29,42.3
2022-01-11,5035009.0,4722760.0,2553108.0,84.58,79.33,42.89
2022-01-12,5039766.0,4725232.0,2586755.0,84.66,79.38,43.45
2022-01-13,5047076.0,4727762.0,2621158.0,84.78,79.42,44.03
2022-01-14,5056509.0,4730397.0,2665546.0,84.94,79.46,44.78
2022-01-15,5067770.0,4732322.0,2707028.0,85.13,79.5,45.47
2022-01-16,5076498.0,4733798.0,2737568.0,85.28,79.52,45.99
2022-01-17,5080747.0,4737170.0,2769268.0,85.35,79.58,46.52
2022-01-18,5084032.0,4740342.0,2794897.0,85.4,79.63,46.95
2022-01-19,5087868.0,4743950.0,2819727.0,85.47,79.69,47.37
2022-01-20,5093259.0,4747948.0,2845151.0,85.56,79.76,47.79
2022-01-21,5100470.0,4753141.0,2878119.0,85.68,79.85,48.35
2022-01-22,5108490.0,4758887.0,2908076.0,85.81,79.94,48.85
2022-01-23,5115300.0,4763524.0,2928366.0,85.93,80.02,49.19
2022-01-24,5118785.0,4769225.0,2956234.0,85.99,80.12,49.66
2022-01-25,5122926.0,4774350.0,2980846.0,86.06,80.2,50.07
2022-01-26,5127390.0,4778991.0,3002159.0,86.13,80.28,50.43
2022-01-27,5132342.0,4785656.0,3024135.0,86.22,80.39,50.8
2022-01-28,5135944.0,4794669.0,3052928.0,86.28,80.54,51.28
2022-01-29,5139886.0,4803844.0,3076548.0,86.34,80.7,51.68
2022-01-30,5141958.0,4812758.0,3091752.0,86.38,80.85,51.94
2022-01-31,5145110.0,4816781.0,3102125.0,86.43,80.91,52.11
